"caseID","eventType","timeStamp","source","lifecycle:transition","Sheet","FileName","Url","Label","Value","Column","Row"
"0","openFile","2019-02-19T03:40:15.813Z","Excel","complete","Sheet1","data.xls",,,,,
"0","goToUrl","2019-02-19T03:40:15.813Z","Web","complete",,,"www.webpage.com",,,,
"0","insertValue","2019-02-19T03:40:21.583Z","Web","complete",,,,"username","username144",,
"0","insertValue","2019-02-19T03:40:33.934Z","Web","complete",,,,"password","psw144",,
"0","clickButton","2019-02-19T03:40:45.799Z","Web","complete",,,,"confirm",,,
"0","waitResponse","2019-02-19T03:40:49.378Z","Web","complete",,,"www.webpage.com/ok",,,,
"0","clickButton","2019-02-19T03:40:54.558Z","Web","complete",,,,"Button3",,,
"0","clickButton","2019-02-19T03:40:57.466Z","Web","complete",,,,"B2",,,
"0","insertValue","2019-02-19T03:41:01.224Z","Web","complete",,,,"ID","144",,
"0","copy","2019-02-19T03:41:02.805Z","Excel","complete",,,,,"Au 58124829 XT","B","1"
"0","paste","2019-02-19T03:41:03.745Z","Web","complete",,,,"Special code","Au 58124829 XT",,
"0","copy","2019-02-19T03:41:06.597Z","Excel","complete",,,,,"Melbourne 123","B","2"
"0","paste","2019-02-19T03:41:09.425Z","Web","complete",,,,"Area","Melbourne 123",,
"0","clickButton","2019-02-19T03:41:11.981Z","Web","complete",,,,"OK",,,
"1","openFile","2019-02-19T03:41:21.981Z","Excel","complete","Sheet1","data.xls",,,,,
"1","goToUrl","2019-02-19T03:41:27.458Z","Web","complete",,,"www.webpage.com",,,,
"1","insertValue","2019-02-19T03:41:29.596Z","Web","complete",,,,"username","username56",,
"1","insertValue","2019-02-19T03:41:40.838Z","Web","complete",,,,"password","psw56",,
"1","clickButton","2019-02-19T03:41:41.524Z","Web","complete",,,,"confirm",,,
"1","waitResponse","2019-02-19T03:41:44.054Z","Web","complete",,,"www.webpage.com/ok",,,,
"1","clickButton","2019-02-19T03:41:51.863Z","Web","complete",,,,"Button3",,,
"1","clickButton","2019-02-19T03:41:54.220Z","Web","complete",,,,"B2",,,
"1","insertValue","2019-02-19T03:41:58.597Z","Web","complete",,,,"ID","56",,
"1","copy","2019-02-19T03:42:02.275Z","Excel","complete",,,,,"Au 58124829 XT","B","1"
"1","paste","2019-02-19T03:42:05.738Z","Web","complete",,,,"Special code","Au 58124829 XT",,
"1","copy","2019-02-19T03:42:08.784Z","Excel","complete",,,,,"Melbourne 123","B","2"
"1","paste","2019-02-19T03:42:12.728Z","Web","complete",,,,"Area","Melbourne 123",,
"1","clickButton","2019-02-19T03:42:17.929Z","Web","complete",,,,"OK",,,
"2","openFile","2019-02-19T03:42:27.929Z","Excel","complete","Sheet1","data.xls",,,,,
"2","goToUrl","2019-02-19T03:42:40.758Z","Web","complete",,,"www.webpage.com",,,,
"2","insertValue","2019-02-19T03:42:46.959Z","Web","complete",,,,"username","username184",,
"2","insertValue","2019-02-19T03:42:51.530Z","Web","complete",,,,"password","psw184",,
"2","clickButton","2019-02-19T03:42:57.704Z","Web","complete",,,,"confirm",,,
"2","waitResponse","2019-02-19T03:43:00.300Z","Web","complete",,,"www.webpage.com/ok",,,,
"2","clickButton","2019-02-19T03:43:13.852Z","Web","complete",,,,"Button3",,,
"2","clickButton","2019-02-19T03:43:18.076Z","Web","complete",,,,"B2",,,
"2","insertValue","2019-02-19T03:43:20.433Z","Web","complete",,,,"ID","184",,
"2","copy","2019-02-19T03:43:23.816Z","Excel","complete",,,,,"Au 58124829 XT","B","1"
"2","paste","2019-02-19T03:43:26.354Z","Web","complete",,,,"Special code","Au 58124829 XT",,
"2","copy","2019-02-19T03:43:29.959Z","Excel","complete",,,,,"Melbourne 123","B","2"
"2","paste","2019-02-19T03:43:33.970Z","Web","complete",,,,"Area","Melbourne 123",,
"2","clickButton","2019-02-19T03:43:36.559Z","Web","complete",,,,"OK",,,
"3","openFile","2019-02-19T03:43:46.559Z","Excel","complete","Sheet1","data.xls",,,,,
"3","goToUrl","2019-02-19T03:43:50.818Z","Web","complete",,,"www.webpage.com",,,,
"3","insertValue","2019-02-19T03:43:58.074Z","Web","complete",,,,"username","username82",,
"3","insertValue","2019-02-19T03:44:03.946Z","Web","complete",,,,"password","psw82",,
"3","clickButton","2019-02-19T03:44:10.665Z","Web","complete",,,,"confirm",,,
"3","waitResponse","2019-02-19T03:44:13.063Z","Web","complete",,,"www.webpage.com/ok",,,,
"3","clickButton","2019-02-19T03:44:19.513Z","Web","complete",,,,"Button3",,,
"3","clickButton","2019-02-19T03:44:22.106Z","Web","complete",,,,"B2",,,
"3","insertValue","2019-02-19T03:44:24.838Z","Web","complete",,,,"ID","82",,
"3","copy","2019-02-19T03:44:26.883Z","Excel","complete",,,,,"value82","B","3"
"3","paste","2019-02-19T03:44:29.537Z","Web","complete",,,,"Special code","value82",,
"3","copy","2019-02-19T03:44:31.626Z","Excel","complete",,,,,"Melbourne 123","B","2"
"3","paste","2019-02-19T03:44:33.598Z","Web","complete",,,,"Area","Melbourne 123",,
"3","clickButton","2019-02-19T03:44:36.799Z","Web","complete",,,,"OK",,,
"4","openFile","2019-02-19T03:44:46.799Z","Excel","complete","Sheet1","data.xls",,,,,
"4","goToUrl","2019-02-19T03:44:50.563Z","Web","complete",,,"www.webpage.com",,,,
"4","insertValue","2019-02-19T03:45:04.291Z","Web","complete",,,,"username","username117",,
"4","insertValue","2019-02-19T03:45:14.688Z","Web","complete",,,,"password","psw117",,
"4","clickButton","2019-02-19T03:45:29.987Z","Web","complete",,,,"confirm",,,
"4","waitResponse","2019-02-19T03:45:33.165Z","Web","complete",,,"www.webpage.com/ok",,,,
"4","clickButton","2019-02-19T03:45:49.249Z","Web","complete",,,,"Button1",,,
"4","clickButton","2019-02-19T03:45:51.985Z","Web","complete",,,,"B2",,,
"4","insertValue","2019-02-19T03:45:53.272Z","Web","complete",,,,"ID","117",,
"4","copy","2019-02-19T03:45:56.356Z","Excel","complete",,,,,"value117","B","3"
"4","paste","2019-02-19T03:45:59.597Z","Web","complete",,,,"Special code","value117",,
"4","copy","2019-02-19T03:46:03.084Z","Excel","complete",,,,,"Melbourne 123","B","2"
"4","paste","2019-02-19T03:46:05.417Z","Web","complete",,,,"Area","Melbourne 123",,
"4","clickButton","2019-02-19T03:46:08.622Z","Web","complete",,,,"OK",,,
"5","openFile","2019-02-19T03:46:18.622Z","Excel","complete","Sheet1","data.xls",,,,,
"5","goToUrl","2019-02-19T03:46:18.622Z","Web","complete",,,"www.webpage.com",,,,
"5","insertValue","2019-02-19T03:46:29.058Z","Web","complete",,,,"username","username78",,
"5","insertValue","2019-02-19T03:46:33.568Z","Web","complete",,,,"password","psw78",,
"5","clickButton","2019-02-19T03:46:35.734Z","Web","complete",,,,"confirm",,,
"5","waitResponse","2019-02-19T03:46:40.241Z","Web","complete",,,"www.webpage.com/ok",,,,
"5","clickButton","2019-02-19T03:46:54.748Z","Web","complete",,,,"Button3",,,
"5","clickButton","2019-02-19T03:46:57.682Z","Web","complete",,,,"B2",,,
"5","insertValue","2019-02-19T03:47:00.041Z","Web","complete",,,,"ID","78",,
"5","copy","2019-02-19T03:47:03.187Z","Excel","complete",,,,,"Au 58124829 XT","B","1"
"5","paste","2019-02-19T03:47:05.480Z","Web","complete",,,,"Special code","Au 58124829 XT",,
"5","copy","2019-02-19T03:47:07.571Z","Excel","complete",,,,,"Melbourne 123","B","2"
"5","paste","2019-02-19T03:47:10.050Z","Web","complete",,,,"Area","Melbourne 123",,
"5","clickButton","2019-02-19T03:47:12.092Z","Web","complete",,,,"OK",,,
"6","openFile","2019-02-19T03:47:22.092Z","Excel","complete","Sheet1","data.xls",,,,,
"6","goToUrl","2019-02-19T03:47:34.630Z","Web","complete",,,"www.webpage.com",,,,
"6","insertValue","2019-02-19T03:47:34.630Z","Web","complete",,,,"username","username136",,
"6","insertValue","2019-02-19T03:47:44.776Z","Web","complete",,,,"password","psw136",,
"6","clickButton","2019-02-19T03:47:57.654Z","Web","complete",,,,"confirm",,,
"6","waitResponse","2019-02-19T03:48:00.297Z","Web","complete",,,"www.webpage.com/ok",,,,
"6","clickButton","2019-02-19T03:48:01.199Z","Web","complete",,,,"Button1",,,
"6","clickButton","2019-02-19T03:48:05.906Z","Web","complete",,,,"B2",,,
"6","insertValue","2019-02-19T03:48:10.073Z","Web","complete",,,,"ID","136",,
"6","copy","2019-02-19T03:48:11.537Z","Excel","complete",,,,,"value136","B","3"
"6","paste","2019-02-19T03:48:16.812Z","Web","complete",,,,"Special code","value136",,
"6","copy","2019-02-19T03:48:21.259Z","Excel","complete",,,,,"Melbourne 123","B","2"
"6","paste","2019-02-19T03:48:23.607Z","Web","complete",,,,"Area","Melbourne 123",,
"6","clickButton","2019-02-19T03:48:25.558Z","Web","complete",,,,"OK",,,
"7","openFile","2019-02-19T03:48:35.558Z","Excel","complete","Sheet1","data.xls",,,,,
"7","goToUrl","2019-02-19T03:48:48.650Z","Web","complete",,,"www.webpage.com",,,,
"7","insertValue","2019-02-19T03:48:53.605Z","Web","complete",,,,"username","username142",,
"7","insertValue","2019-02-19T03:48:57.044Z","Web","complete",,,,"password","psw142",,
"7","clickButton","2019-02-19T03:49:05.984Z","Web","complete",,,,"confirm",,,
"7","waitResponse","2019-02-19T03:49:09.642Z","Web","complete",,,"www.webpage.com/ok",,,,
"7","clickButton","2019-02-19T03:49:12.183Z","Web","complete",,,,"Button1",,,
"7","clickButton","2019-02-19T03:49:14.341Z","Web","complete",,,,"B2",,,
"7","insertValue","2019-02-19T03:49:15.920Z","Web","complete",,,,"ID","142",,
"7","copy","2019-02-19T03:49:17.881Z","Excel","complete",,,,,"Au 58124829 XT","B","1"
"7","paste","2019-02-19T03:49:20.934Z","Web","complete",,,,"Special code","Au 58124829 XT",,
"7","copy","2019-02-19T03:49:24.757Z","Excel","complete",,,,,"Melbourne 123","B","2"
"7","paste","2019-02-19T03:49:28.340Z","Web","complete",,,,"Area","Melbourne 123",,
"7","clickButton","2019-02-19T03:49:30.511Z","Web","complete",,,,"OK",,,
"8","openFile","2019-02-19T03:49:40.511Z","Excel","complete","Sheet1","data.xls",,,,,
"8","goToUrl","2019-02-19T03:49:56.343Z","Web","complete",,,"www.webpage.com",,,,
"8","insertValue","2019-02-19T03:50:10.701Z","Web","complete",,,,"username","username55",,
"8","insertValue","2019-02-19T03:50:19.521Z","Web","complete",,,,"password","psw55",,
"8","clickButton","2019-02-19T03:50:28.647Z","Web","complete",,,,"confirm",,,
"8","waitResponse","2019-02-19T03:50:32.538Z","Web","complete",,,"www.webpage.com/ok",,,,
"8","clickButton","2019-02-19T03:50:41.421Z","Web","complete",,,,"Button3",,,
"8","clickButton","2019-02-19T03:50:43.554Z","Web","complete",,,,"B2",,,
"8","insertValue","2019-02-19T03:50:46.599Z","Web","complete",,,,"ID","55",,
"8","copy","2019-02-19T03:50:49.173Z","Excel","complete",,,,,"Au 58124829 XT","B","1"
"8","paste","2019-02-19T03:50:52.334Z","Web","complete",,,,"Special code","Au 58124829 XT",,
"8","copy","2019-02-19T03:50:56.798Z","Excel","complete",,,,,"Melbourne 123","B","2"
"8","paste","2019-02-19T03:51:02.071Z","Web","complete",,,,"Area","Melbourne 123",,
"8","clickButton","2019-02-19T03:51:06.581Z","Web","complete",,,,"OK",,,
"9","openFile","2019-02-19T03:51:16.581Z","Excel","complete","Sheet1","data.xls",,,,,
"9","goToUrl","2019-02-19T03:51:29.003Z","Web","complete",,,"www.webpage.com",,,,
"9","insertValue","2019-02-19T03:51:41.335Z","Web","complete",,,,"username","username109",,
"9","insertValue","2019-02-19T03:51:49.535Z","Web","complete",,,,"password","psw109",,
"9","clickButton","2019-02-19T03:51:56.781Z","Web","complete",,,,"confirm",,,
"9","waitResponse","2019-02-19T03:51:59.628Z","Web","complete",,,"www.webpage.com/ok",,,,
